label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
s2004_s_59	saturn	0.014e15	0	19170700e3	0.262	167.3	125.2	222.1	282.6
s2004_s_60	saturn	0.014e15	0	19517000e3	0.280	173.8	321.7	264.3	357.6
s2004_s_61	saturn	0.034e15	0	20986900e3	0.466	168.4	176.4	40.4	175.6
s2005_s_4	saturn	0.065e15	0	11324500e3	0.315	48.0	169.4	107.1	247.1
s2005_s_5	saturn	0.014e15	0	21364900e3	0.588	169.5	84.7	284.6	9.9
s2005_s_6	saturn	0.014e15	0	18107300e3	0.084	47.7	166.5	77.4	163.4
s2005_s_7	saturn	0.014e15	0	18502500e3	0.565	34.6	269.8	132.7	181.1
s2006_s_1	saturn	0.065e15	0	18746300e3	0.105	156.1	333.6	159.7	86.3
s2006_s_3	saturn	0.065e15	0	21353100e3	0.432	156.1	213.3	191.6	125.3
s2006_s_9	saturn	0.014e15	0	14406700e3	0.249	173.0	36.0	341.9	65.2
s2006_s_10	saturn	0.014e15	0	18979900e3	0.151	161.6	350.8	79.7	173.5
s2006_s_11	saturn	0.014e15	0	19711900e3	0.143	174.1	254.4	159.9	353.1
s2006_s_12	saturn	0.034e15	0	19570300e3	0.542	38.6	155.1	78.1	249.6
s2006_s_13	saturn	0.034e15	0	19953300e3	0.313	162.0	44.4	254.7	248.5
s2006_s_14	saturn	0.014e15	0	21062300e3	0.060	166.7	274.4	136.1	264.7
s2006_s_15	saturn	0.034e15	0	21799600e3	0.117	161.1	12.2	224.8	313.6
s2006_s_16	saturn	0.014e15	0	21721200e3	0.204	164.1	165.4	282.9	62.5
s2006_s_17	saturn	0.034e15	0	22384200e3	0.425	168.7	274.1	149.4	206.6
s2006_s_18	saturn	0.034e15	0	22760600e3	0.131	169.5	47.6	62.5	14.5
s2006_s_19	saturn	0.034e15	0	23800500e3	0.467	175.5	281.1	19.2	195.9
s2006_s_20	saturn	0.065e15	0	13193700e3	0.206	173.1	60.9	77.4	153.1
s2006_s_21	saturn	0.014e15	0	14976500e3	0.204	169.8	328.3	157.4	40.7
s2006_s_22	saturn	0.014e15	0	15109500e3	0.246	172.0	231.1	71.7	254.1
s2006_s_23	saturn	0.014e15	0	18269700e3	0.190	43.8	257.1	72.5	309.9
s2006_s_24	saturn	0.014e15	0	18210700e3	0.352	165.9	204.8	39.8	10.3
s2006_s_25	saturn	0.014e15	0	18572400e3	0.303	158.8	277.4	130.1	348.5
s2006_s_26	saturn	0.014e15	0	18619300e3	0.248	171.9	147.8	2.5	201.0
s2006_s_27	saturn	0.034e15	0	19205700e3	0.140	170.5	3.7	91.6	6.1
s2006_s_28	saturn	0.034e15	0	21955100e3	0.210	172.9	152.8	242.2	98.4
s2006_s_29	saturn	0.014e15	0	25212100e3	0.239	156.2	82.4	301.4	101.5
s2007_s_5	saturn	0.034e15	0	15835600e3	0.104	158.4	128.9	44.4	23.2
s2007_s_6	saturn	0.014e15	0	18545000e3	0.168	166.5	324.1	19.2	347.8
s2007_s_7	saturn	0.034e15	0	15931600e3	0.217	169.3	3.8	149.6	63.4
s2007_s_8	saturn	0.034e15	0	17048900e3	0.490	36.2	202.2	258.7	6.3
s2007_s_9	saturn	0.034e15	0	20174600e3	0.360	159.3	269.4	125.3	240.3
s2007_s_10	saturn	0.034e15	0	11364900e3	0.367	45.8	287.1	94.2	23.6
s2007_s_11	saturn	0.034e15	0	17434400e3	0.499	35.5	53.9	348.9	233.9
s2007_s_2	saturn	0.065e15	0	15939100e3	0.232	174.0	107.3	46.4	10.0
s2007_s_3	saturn	0.065e15	0	19614400e3	0.150	173.8	99.3	323.1	304.5
s2019_s_1	saturn	0.11e15	0	11245400e3	0.383	49.5	185.6	86.6	36.5
s2019_s_2	saturn	0.014e15	0	16560300e3	0.279	173.3	95.3	103.2	185.1
s2019_s_3	saturn	0.034e15	0	17077400e3	0.248	166.9	243.9	129.2	150.3
s2019_s_4	saturn	0.014e15	0	17951900e3	0.408	170.1	301.4	247.0	217.8
s2019_s_5	saturn	0.014e15	0	19090100e3	0.216	158.8	271.1	321.5	59.4
s2019_s_6	saturn	0.065e15	0	18205600e3	0.120	46.4	154.2	286.9	185.7
s2019_s_7	saturn	0.034e15	0	20185100e3	0.233	174.2	226.6	6.3	336.0
s2019_s_8	saturn	0.034e15	0	20287400e3	0.311	172.8	168.6	144.6	31.8
s2019_s_9	saturn	0.034e15	0	20359700e3	0.433	159.5	114.2	316.4	244.7
s2019_s_10	saturn	0.014e15	0	20700300e3	0.248	163.9	274.7	352.9	149.5
s2019_s_11	saturn	0.034e15	0	20664200e3	0.513	144.6	327.6	28.2	190.5
s2019_s_12	saturn	0.034e15	0	20895000e3	0.476	167.1	324.7	240.2	221.1
s2019_s_13	saturn	0.014e15	0	20964500e3	0.318	177.3	302.5	219.8	138.5
s2019_s_14	saturn	0.034e15	0	17852800e3	0.172	46.2	149.6	303.2	240.9
s2019_s_15	saturn	0.014e15	0	21191100e3	0.257	157.8	22.0	17.9	302.9
s2019_s_16	saturn	0.014e15	0	23265200e3	0.250	162.0	206.7	280.6	351.8
s2019_s_17	saturn	0.034e15	0	22722700e3	0.546	155.5	125.3	317.0	40.5
s2019_s_18	saturn	0.014e15	0	23139500e3	0.509	154.6	230.6	304.5	340.4
s2019_s_19	saturn	0.014e15	0	23044400e3	0.458	151.8	248.3	305.8	335.8
s2019_s_20	saturn	0.014e15	0	23677900e3	0.354	156.0	176.6	198.6	281.1
s2019_s_21	saturn	0.034e15	0	26439500e3	0.155	171.9	342.8	16.7	346.4
s2019_s_22	saturn	0.014e15	0	11305100e3	0.369	47.3	21.1	100.5	223.0
s2019_s_23	saturn	0.014e15	0	11310200e3	0.255	48.7	356.3	81.5	1.0
