Alemannia		4.67±0.05 h[12]4.671 h[7]4.6714±0.0001 h[12]4.6727±0.0003 h[12]4.680±0.024 h[13]5.82 h (poor)[14]					
Aurelia		16.784 h (0.6993 d)[2][5]					
Bertholda		11.04 h (0.460 d)					
Zahringia		6.42 h (0.268 d)[1]					
Berolina		12.79 h (0.533 d)					
Diotima		4.775 h (0.1990 d)[2]					
Gratia		19.47 h (0.811 d)					
Cornelia		17.505 h (0.7294 d)					
Hippo		34.3 h (1.43 d)					
Galene		3.705 h (0.1544 d)					
Monachia		3.6342 ± 0.0002 h (0.1514250 ± 8.3×10−6 d)[3]					
Lotis		13.577 h (0.5657 d)					
Hybris		7.205 h (0.3002 d)					
Nephele		18.821 h (0.7842 d)					
Pythia		8.252 h (0.3438 d)					
Eros		5.270 h[1]					
Hungaria		26.521 h (1.1050 d)[1]					
Ella		4.623 h (0.1926 d)					
Patricia		16.133 h (0.6722 d)					
Rhodia		56 h (2.3 d)					
Zeuxo		8.831 h (0.3680 d)					
Ohio		37.46 h (1.561 d)[2]					
Theodora		4.828 h (0.2012 d)					
Bathilde		10.446 h (0.4353 d)					
Eichsfeldia		11.871 h (0.4946 d)					
Photographica		19.795 h (0.8248 d)					
Gyptis		6.214 h (0.2589 d)[1]					
Edna		19.97 h (0.832 d)					
Aeternitas		15.7413 h (0.65589 d)[1]					
Valentine		9.651 h (0.4021 d)					
Natalie		8.0646 h (0.33603 d)					
Hamburga		18.145±0.005 h[12]18.263±0.004 h[13]					
Brigitta		10.75 h (0.448 d)					
Patientia		9.727 h (0.4053 d)[2]					
Hamiltonia		2.8813 h (0.12005 d)					
Tea		6.811 ± 0.001 h (0.283792 ± 4.2×10−5 d)[3]					
Mathesis		8.378 h (0.3491 d)					
Bruchsalia		11.85 h (0.494 d)					
Abnoba		18±1 h[12]18.2026±0.0002 h[12]18.273±0.005 h[13][a]18.281±0.001 h[14]					
Alleghenia		21.953±0.001 h[5]21.953 h (0.9147 d)[1]					
Hercynia		15.33±0.04 h[13]16 h[14]21.806±0.006 h[15]22.3 h[16]22.41±0.01 h[14]					
Signe		5.5362 h (0.23068 d)					
Scania		164.1±0.1 h[9]					
Saskia		7.348 h[12][13]					
Eriphyla		8.659±0.001 h[12]					(119.0°, 7.0°) (λ1/β1)[6]
(301.0°, 5.0°) (λ2/β2)[6]
Lola		6.206 h (0.2586 d)					
Megaira		12.879±0.001 h[10]					
Alekto	10.938 hours	10.938 h (0.4558 d)					
Tisiphone		8.824 ± 0.009 h[4]8.834 h (0.3681 d)[1]					
Laura		36.8 h (1.53 d)					
Lina		16.33±0.02 h[14]16.478±0.004 h[15]16.54±0.01 h[15]					
Argentina		12.3 hours[6]17.573 h (0.7322 d)[3]					
Kilia		290 h (12 d)					
Papagena		7.113 h (0.2964 d)					
Roma	9.8007 ± 0.0009 h[3]	9.8007 h (0.40836 d)					
Nolli		3.0785 h (0.12827 d)					
Prudentia		8.572 h (0.3572 d)					
Ocllo		7.3151 h (0.30480 d)[2][4]					
Hedwig		27.33 h (1.139 d)					
Italia		19.413 h (0.8089 d)					
Tergeste		15±5 h[10]16.104±0.001 h[11]16.105±0.001 h[12]					
Caprera		9.43 h (0.393 d)					
Hansa		11.758 h[10]16.12 h[11]16.183±0.001 h[11]16.1894±0.0005 h[12]16.19 h[13][14]16.22 h[15]					
Emita		14.35 h (0.598 d)					
Petrina		11.7922 h (0.49134 d)					
Seppina		12.727 h (0.5303 d)					
