Istria	Epoch 23 March 2018 (JD 2458200.5)	2.7908 au	0.3508	26.391°	141.95°	264.12°	61.603°
Dejopeja	Epoch 31 July 2016 (JD 2457600.5)	3.1873 au (476.81 gm)	0.066883	1.1437°	331.61°	209.72°	119.18°
Eunike	Epoch 31 July 2016 (JD 2457600.5)	2.7383 au (409.64 gm)	0.12930	23.238°	153.84°	224.01°	327.48°
Celuta	Epoch 31 July 2016 (JD 2457600.5)	2.3618 au (353.32 gm)	0.14964	13.185°	14.769°	315.65°	275.22°
Lamberta	Epoch 31 July 2016 (JD 2457600.5)	2.7276 au (408.04 gm)	0.24126	10.588°	21.707°	196.93°	217.42°
Menippe	Epoch 31 July 2016 (JD 2457600.5)	2.7617 au (413.14 gm)	0.17835	11.703°	240.91°	70.177°	346.69°
Phthia	Epoch 31 July 2016 (JD 2457600.5)	2.4506 au (366.60 gm)	0.037105	5.1774°	203.42°	168.03°	336.98°
Ismene	Epoch 31 July 2016 (JD 2457600.5)	3.9864 au (596.36 gm)	0.16597	6.1772°	175.48°	271.47°	134.92°
Kolga	Epoch 31 July 2016 (JD 2457600.5)	2.8951 au (433.10 gm)	0.091106	11.508°	159.31°	227.00°	326.28°
Nausikaa	Epoch 31 July 2016 (JD 2457600.5)	2.4028 au (359.45 gm)	0.24582	6.8137°	343.25°	30.067°	94.342°
Ambrosia	Epoch 31 July 2016 (JD 2457600.5)	2.6011 au (389.12 gm)	0.29638	12.010°	349.97°	81.365°	331.40°
Prokne	Epoch 31 July 2016 (JD 2457600.5)	2.6158 au (391.32 gm)	0.23810	18.509°	159.32°	163.24°	42.282°
Eurykleia	Epoch 31 July 2016 (JD 2457600.5)	2.88 au (430.30 gm)	0.044205	6.9718°	6.9930°	119.12°	113.56°
Philomela	Epoch 31 July 2016 (JD 2457600.5)	3.1177 au (466.40 gm)	0.017530	7.2554°	72.384°	195.69°	276.49°
Arete	Epoch 31 July 2016 (JD 2457600.5)	2.7389941 au (409.74769 gm) (a)	0.1640143 (e)	8.793773° (i)	81.607160° (ω)	246.46589° (ω)	20.361539° (m)
Ampella	Epoch 31 July 2016 (JD 2457600.5)	2.4589 au (367.85 gm)	0.22788	9.3113°	268.45°	88.586°	131.10°
Byblis	Epoch 31 July 2016 (JD 2457600.5)	3.1682 au (473.96 gm)	0.17946	15.474°	88.589°	180.18°	86.623°
Dynamene	Epoch 31 July 2016 (JD 2457600.5)	2.7374 au (409.51 gm)	0.13320	6.8957°	324.57°	85.089°	10.506°
Penelope	Epoch 21 January 2022 (JD 2457600.5)	2.680 au (400.859 gm)[4][3]	0.17924[4][3]	5.75625°[4][3]	156.91554°[4]	180.90559°[4]	169.01173°[4]
Chryseis	Epoch 31 July 2016 (JD 2457600.5)	3.0713 au (459.46 gm)	0.10244	8.8535°	136.848°	1.3159°	11.1527°
Pompeja	Epoch 31 July 2016 (JD 2457600.5)	2.737 au (409.4 gm)	0.058490	3.1780°	347.916°	57.060°	47.6383°
Kallisto	Epoch 31 July 2016 (JD 2457600.5)	2.66974 au (399.387 gm)	0.17504	8.28673°	205.123°	55.4125°	230.567°
Martha	Epoch 31 July 2016 (JD 2457600.5)	2.7771 au (415.45 gm)	0.035571	10.696°	211.792°	177.281°	198.37°
Hersilia	Epoch 31 July 2016 (JD 2457600.5)	2.74055 au (409.980 gm)	0.037379	3.77868°	145.169°	299.705°	348.975°
Hedda	Epoch 31 July 2016 (JD 2457600.5)	2.2837 au (341.64 gm)	0.028894	3.8036°	29.212°	192.936°	34.9926°
